L,g,E_exact,E_vmc_real,Var_E,Mean_Two_Point_Correlation,Var_Two_Point_Correlation,Exact_Two_Point_Correlation,Exact_Two_Point_Correlation_Variance,rel_error
12,0.76,-13.81160802691226,-13.8117630864853,0.00012070508318498935,0.7986181640625,0.08747758271694185,0.7986494868821731,0.08709101150334063,1.1226757430210747e-05
12,0.74,-13.712243507232202,-13.712039852990056,0.00013235686628074167,0.8149039713541667,0.07813854872120748,0.8144045737973866,0.07857800498082125,1.485200011495805e-05
12,0.72,-13.616307740791838,-13.616308010674839,0.0001013850561777071,0.8290039062500001,0.07098874304029679,0.8287698590493743,0.07101664771027208,1.982057151013659e-08
12,0.7,-13.523686903200286,-13.523700611955064,0.00011530159776070191,0.8421394856770834,0.06445641435450977,0.8419129656031495,0.06429817675315726,1.0136847204898715e-06
12,0.68,-13.434279991760995,-13.43453099712613,9.646896219761404e-05,0.8542057291666666,0.058495007154676655,0.8539831646378496,0.05831671156168353,1.8683946239656847e-05
12,0.66,-13.347997938600988,-13.34817370349403,9.999924781712606e-05,0.8651749674479167,0.053092555649412995,0.8651105730505302,0.052974258789319016,1.3167884341181721e-05
12,0.64,-13.264762477614683,-13.264817324548492,9.727523918550809e-05,0.8751114908854167,0.04863435985710886,0.8754068617170675,0.04818323798609381,4.134784463831849e-06
12,0.62,-13.184504920582212,-13.184644051408611,9.395770317951495e-05,0.8850244140625,0.044012602485550785,0.8849668145734348,0.043867314679957005,1.0552601499824602e-05
12,0.6,-13.10716494491875,-13.107124692021172,0.00011261214672416479,0.8938736979166667,0.03990854047139486,0.8938702808486804,0.039961164907745546,3.0710605800609278e-06
12,0.58,-13.0326894555016,-13.03268576192102,3.606851966069498e-05,0.9020597330729166,0.03651474621494611,0.9021842241215969,0.0364096286618123,2.8340893056300724e-07
12,0.56,-12.96103155439418,-12.960870492371033,5.678197658491745e-05,0.9097029622395834,0.03326381693349944,0.9099646904407311,0.033166567005725116,1.2426636141719887e-05
12,0.54,-12.892149632779807,-12.89237505901794,6.555587619252936e-05,0.9174064127604167,0.030083410023980676,0.9172585996760443,0.03019362693240435,1.7485543106013924e-05
12,0.52,-12.826006586768434,-12.826087029445482,2.8957760394783425e-05,0.92421630859375,0.027326222307814493,0.9241053179378617,0.02745903772742824,6.271841239386959e-06
12,0.5,-12.762569151024044,-12.762591166104357,1.4418532968776596e-05,0.93085205078125,0.02470505200425784,0.9305380021917755,0.02493650723232537,1.72497246070886e-06
12,0.48,-12.701807339865404,-12.701799670987238,2.461109296838808e-05,0.9371020507812501,0.022351085397269987,0.9365847275127619,0.02260424991797451,6.03762752826578e-07
12,0.46,-12.643693983494456,-12.643724757180571,7.525870705777598e-06,0.9425406901041667,0.020304113470183485,0.9422694175314238,0.020444155737286432,2.433915765052499e-06
12,0.44,-12.588204346495283,-12.588029799350334,2.3129653806676098e-05,0.9476106770833334,0.01844513749016656,0.9476126029032509,0.01844109511863914,1.3865928781005237e-05
12,0.42,-12.535315816160631,-12.53525351169246,1.733206344596431e-05,0.9524780273437501,0.016642215500275295,0.9526320333721753,0.01658234807429477,4.970314995257209e-06
12,0.4,-12.485007649154038,-12.484986038626085,4.614299716827625e-06,0.9572639973958333,0.014918425748083327,0.9573431677142613,0.014857142026468238,1.7309182790337595e-06
